"['neuralnetwork', 'deep-learning']",Why does sigmoid/tanh activation function is still used for deep NN when we have ReLU?
['rbm'],Why a restricted Boltzman machine (RBM) tends to learn very similar weights?
"['r', 'statistics', 'time-series']",Impulse Response Function - Negative Shocks on R
"['r', 'classification', 'unbalanced-classes', 'hyperparameter']",Tune hyperparameters for cost-sensitive classification
['visualization'],What is the standard for dealing with null values in plotting?
['bigdata'],Privacy through fake data?
"['classification', 'text-mining', 'topic-model']",what is difference between text classification and topic models?
"['r', 'time-series']",forecast monthly shipment (time series) for 300 products individually in R
"['dataset', 'statistics', 'beginner']",Amplifying the impact of outliers in a dataset
"['machine-learning', 'classification', 'data-mining']","Machine Learning - Where is the difference between one-class, binary-class and multinominal-class classification?"
"['random-forest', 'online-learning']",On-line random forests by adding more single Decisions Trees
['linear-regression'],Interpreting Multiple Linear Regression
"['python', 'dataset', 'scraping']",Trouble with Scrapy and Python: ever present unexpected indent
"['machine-learning', 'data-mining', 'classification', 'categorical-data']","Machine Learning - Where is the difference between one-class, binary-class and multinominal-class classification?"
"['nlp', 'reference-request']",List of NLP challenges
"['r', 'optimization']",Gerrymandering - Geospatial optimization to maximize votes in R
"['machine-learning', 'definitions', 'knowledge-base']",How is Data Science related to Machine learning?
"['r', 'error-handling']",RODBC's sqlSave error
"['machine-learning', 'neuralnetwork', 'image-classification']",In image classification/recognition how are images coded?
"['python', 'regression', 'random-forest']",Using previous hour's value in time series data for inclusion in random forest
"['time-series', 'feature-selection']",Time series prediction
"['time-series', 'feature-selection', 'predictive-modeling', 'optimization']",Time series: variations as a feature
['time-series'],"How to merge monthly, daily and weekly data?"
"['recommendation', 'predictive-modeling', 'graphs']",Which Graph Properties are Useful for Predictive Analytics?
"['apache-spark', 'scala', 'market-basket-analysis']",Market Basket Analysis - Data Modelling
"['python', 'data']",Data Science framework
"['dataset', 'deep-learning', 'word-embeddings', 'torch']",How to handle Memory issues in training Word Embeddings on Large Datasets?
"['classification', 'performance']",Measuring performance of different classifiers without class type in data
['r'],What is the difference between the 3 architectural components of Microsoft R Server?
"['machine-learning', 'classification', 'data-mining', 'clustering', 'k-means']",how ml algorithms used for friend suggestions or item recommendations?
['clustering'],Kmeans: Between class intertia
"['machine-learning', 'predictive-modeling', 'random-forest', 'performance']",Case when Out of Bag Error and Test error differs a lot in Random Forest
['feature-extraction'],how to determine hashing bit length for multiple categorical features?
['knowledge-base'],Ontologies with user interface
"['r', 'bigdata']",CDF with a massive amount of data
"['python', 'r', 'ggplot2']",How to get 2D-Array of boxplots without the diagonal with R (python also accepted)?
['r'],generate graph from .eps file (preferably using R)
['nlp'],What is the state of the art in the field of NLP?
"['r', 'statistics']",Any Online R console?
"['machine-learning', 'classification', 'naive-bayes-classifier']",Predicting New Data with Naive Bayes
['hbase'],"""Hadoop"" formats for user database: online advertising"
['regression'],Simulation - identify the input parameters that impact the most the output
['clustering'],Introducing weights into spectral clustering
['python'],Opening biosemi bdf data using MNE and biosig using python
"['logistic-regression', 'java']",How can I create a custom tag in JPMML?
"['dataset', 'recommendation', 'graphs']",Trouble representing a problem
"['data-mining', 'clustering']",Analyzing mobile usage. What kind of approach should I apply?
"['machine-learning', 'neuralnetwork', 'beginner', 'matlab', 'octave']",Please suggest some simple functions that I can use to test my neural network implementation
"['nlp', 'deep-learning', 'word-embeddings', 'unsupervised-learning']",How word2vec can be used to identify unseen words and relate them to already trained data
"['data-cleaning', 'sql']","Method to create master product database to validate entries, and enrich data set"
"['python', 'data-cleaning', 'pandas', 'anaconda']",Creating new columns by iterating over rows in pandas dataframe
"['classification', 'sklearn', 'multiclass-classification', 'unbalanced-classes']",Balanced Linear SVM wins every class except One vs All
['feature-selection'],Getting back dummy features to 1 dimmensional space
"['prediction', 'churn']",Your Prediction Model works. What to do after?
"['algorithms', 'predictive-modeling', 'regression', 'correlation']",How to make predictions based on correlations?
"['nosql', 'performance']",What is the Best NoSQL backend for a mobile game
"['clustering', 'algorithms', 'similarity']",Clustering based on similarity scores
"['tools', 'data-stream-mining']",Opensource tools for help in mining stream of leader board scores
['neuralnetwork'],Using Neural Networks To Predict Sets
"['bigdata', 'data']",A new comer in this field - How to start?
['social-network-analysis'],Alternatives to Graph theory?
['machine-learning'],How do I setup a server in the cloud for machine learning?
['bigdata'],Algorithm to predict the best variable where dependent variable is unkown
"['machine-learning', 'clustering']",NNDSVD to initialize Convex-NMF
"['r', 'regression', 'linear-regression']",Interpreting the evaluation result of multiple linear regression
['r'],What is the proper way way to -log10 transform ggplot2 axis?
['machine-learning'],Reading from log file and train a model for prediction
"['machine-learning', 'python', 'neuralnetwork', 'logistic-regression']","How to analyse move kindness in python (Logistic regression, neural network, etc.)?"
"['machine-learning', 'data-mining', 'r']",Is it advisable to rerun LASSO multiple (2) times?
"['r', 'random-forest', 'ensemble-modeling']",Importance of variables in RandomForest in R
"['machine-learning', 'python', 'java']",Why in deep learning or another AI technique python is used rather than other languages?
['hadoop'],How to use REST API to execute Map-Reduce Task?
"['nlp', 'text-mining', 'regression', 'scikit']",What regressors are recommended with text modeling?
"['machine-learning', 'recommendation', 'apache-spark']",Spark MLlib recommendation - restaurant/ item similarity - issues/improvement
"['neuralnetwork', 'backpropagation']",Neural Network Backpropagation problems
"['information-retrieval', 'named-entity-recognition']",What algorithm to use for a specific 'Named Entity Recognition'/'Information extraction' problem
"['machine-learning', 'classification', 'feature-selection', 'confusion-matrix', 'computer-vision']",Trying to come up with a feature to improve emotion classifier based on facial movement using facial landmarks
"['r', 'python', 'predictive-modeling']",Is there an equivalent of the Bandit package in r (Used in implementation of Multi arm bandit algorithm) in python?
"['classification', 'geospatial']",Which classification algorithm to choose for classifying driving patterns (GPS coordinates) and mapping them to drivers?
['data'],How to create US state heatmap
['python'],Python Machine Learning/Data Science Project Structure
"['python', 'statistics', 'regression', 'hyperparameter']",Hyperparameters in Gaussian Process
"['time-series', 'markov-process', 'reference-request']",Markov switching models
['neuralnetwork'],How do MS-TDNNs work?
['sequential-pattern-mining'],Sequential Pattern Mining: How to find out the time periods corresponding to sequences?
['regression'],What does it mean when the coefficient of the squared term is negative in regression?
"['python', 'nlp', 'sklearn']",SelectKBest for text analytics
"['statistics', 'marketing']",How can I use data on customer interactions to drive communication strategy?
"['machine-learning', 'r', 'text-mining']",Classifying Email in R
"['machine-learning', 'nlp', 'word-embeddings', 'word2vec']",Assign words to various topics
['career'],Role and need of Mathematics in Data Science
"['machine-learning', 'predictive-modeling', 'optimization']",Machine learning worker performance features for optimum allocation of tasks to workers
"['data-mining', 'missing-data', 'data-imputation']",Using predictive modelling for temperature data set
"['python', 'theano']",Theano logistic regression understanding code
"['python', 'scikit', 'pandas']",Assigning values to missing target vector values in scikit-learn
"['python', 'optimization', 'genetic-algorithms']",Simple example of genetic alg minimization
"['logistic-regression', 'theano']",Multi-class logistic regression
"['data-mining', 'classification', 'clustering']",Mine webshop history for clusters
"['python', 'software-recommendation', 'multilabel-classification']",Python library that can compute the confusion matrix for multi-label classification
['untagged'],Data Science conferences?
"['predictive-modeling', 'time-series']",What's the most robust way to predict the value of some noisy time series data?
"['data-cleaning', 'gradient-descent', 'linear-regression']",Feature Scaling and Mean Normalization
"['machine-learning', 'recommendation', 'deep-learning', 'scalability', 'data-product']",How to create Self learning data product
"['machine-learning', 'sklearn', 'feature-engineering', 'encoding']",Encoding features in sklearn
"['machine-learning', 'neuralnetwork', 'nlp', 'text-mining', 'similarity']",What is the difference between Latent Semantic Analysis & Doc2Vec?
['nlp'],Word taxonomies for Facebook likes categories
"['dataset', 'neuralnetwork']",How many observations in a neural networks dataset?
"['machine-learning', 'dataset']",What are the basic approaches for balancing a dataset for machine learning?
"['data-mining', 'reference-request', 'sports']",Resources on Data Science for Football / Soccer?
"['clustering', 'orange']",SPSS style custom tables in Orange
"['machine-learning', 'data-mining', 'dataset']",Working with inaccurate (incorrect) dataset
['text-mining'],Regular Expressions in Word
"['scalability', 'graphs', 'neo4j']",Use Cases of Neo4J and Spark GraphX
"['python', 'clustering', 'scikit', 'clusters', 'dbscan']",How to plot/visualize clusters in scikit-learn (sklearn)?
"['machine-learning', 'data-mining', 'clustering', 'anomaly-detection']",What would be a good way to use clustering for outlier detection?
"['scikit', 'keras']",Fitting error with Neural Network Grid Search in Keras
['classification'],Ensemble model overfitting?
"['bigdata', 'hadoop']",A Simple Explanation of ZooKeeper in Hadoop
"['bigdata', 'apache-kafka']",Simple Explanation of Apache Kafka
['bigdata'],Simple Explanation of Apache Flume
"['machine-learning', 'data-mining', 'clustering', 'k-means', 'clusters']",How to set weight in Weighted Kernel K-Means?
"['machine-learning', 'neuralnetwork']",Error with Convolutional Neural Network (SGD?)
"['machine-learning', 'data-mining', 'nlp', 'predictive-modeling']",How can I predict the acceptance of an article by publisher?
"['recommendation', 'information-retrieval']",Does click frequency account for relevance?
"['r', 'python', 'statistics']",How to find a confidence level given the z value
"['python', 'image-classification']",Image classification in python
"['regression', 'backpropagation', 'error-handling']",Modified Voting Algorithm to find the best recommendation
['statistics'],Decision Tree Bayes rules / Maximax / Maximin
"['python', 'sklearn', 'cross-validation', 'model-selection']",Nested cross-validation and selecting the best regression model - is this the right SKLearn process?
"['r', 'python', 'statistics']",How to get the mu+0.1sigma from a normal distribution?
"['sql', 'clusters', 'excel']",Creating Clusters in Excel office
['apache-spark'],Connecting to OrientDB from Spark in Java
"['python', 'data', 'pandas']",Merging large CSV files in Pandas
['sas'],Why do we need to use sysfunc when we call a SAS function inside a SAS macro
['machine-learning'],Estimating probability using boltzmann machine
"['nlp', 'text-mining']",How can I figure out section headings in a document?
"['beginner', 'books']",From developper to data scientist
['machine-learning'],Predict probability when model was trained in balanced dataset
"['machine-learning', 'python', 'sklearn']",Using Scorer Object for Classifier Score Method for scikit-learn
['machine-learning'],Detecting cats visually by means of anomaly detection
"['python', 'scikit', 'k-means', 'pca']",How to display clusters centroids and share the statistics of each cluster in sklearn?
"['statistics', 'dataset']",Datasets understanding best practices
['recommender-system'],Content based recommendations using SQL queries on the MovieLens data set
"['data-mining', 'statistics', 'feature-extraction']",extracting information in presence of noise
['similarity'],What methods are suitable for measuring the consensus/similarity of my data?
"['classification', 'decision-trees', 'missing-data']",Different ways of handling null values in Decision Trees
"['machine-learning', 'classification', 'nlp', 'text-mining']",Classification of skills based on job ads
"['sampling', 'sas']","SAS. How to write ""OR"""
"['machine-learning', 'data-mining', 'classification', 'algorithms']",Machine learning algorithm to classify blog posts
['clustering'],Using SVD for clustering
['regression'],"Type of regression with nominal, ordinal, interval and ratio data"
"['dataset', 'data-cleaning']",Amalgamating multiple datasets with different variables coding
['classification'],How to classify test objects?
['classification'],"How can I classify text considering word order, instead of just using a bag-of-words approach?"
['machine-learning'],Supervised Learning with Necessarily Missing Data
"['python', 'data-cleaning', 'pandas']",Ignoring symbols and select only numerical values with pandas
"['python', 'r', 'neuralnetwork']",Considerations for multiple hidden layers in neural networks?
"['machine-learning', 'classification', 'algorithms', 'beginner']",Distance calculation/vector range significance
"['r', 'survival-analysis']","R plot(surv(), newdata=...) draws same lines many times - why?"
"['dataset', 'categorical-data', 'scoring', 'normalization', 'weighted-data']",Creating validation data for model comparison
"['data-mining', 'classification', 'dataset', 'clustering', 'time-series']",How to classify and cluster this time series data
"['dataset', 'statistics', 'algorithms']",Versatile data structure for combined statistics
"['machine-learning', 'data-mining', 'search', 'library']",General programs/libraries for studying user search behavior?
['machine-learning'],Newbie: What is the difference between hypothesis class and models?
"['r', 'classification']",what is nn.index mean in KNN output
"['classification', 'clustering', 'visualization', 'data-cleaning']",Choosing data clustering method to visualize data
"['python', 'bigdata', 'data', 'mongodb', 'json']",efficient way to operate on JSON type file
"['neuralnetwork', 'matlab', 'confusion-matrix']",Multiple confusion matrix for multiple training instances. Which one to take?
"['cross-validation', 'sampling']",Cross-validation: K-fold vs Repeated random sub-sampling
['social-network-analysis'],Abstract data type?
['r'],Finding predictions using biglm without finding errors
"['data-mining', 'python', 'scraping']",How to scrape imdb webpage?
"['machine-learning', 'time-series']",Account for unknown error in time series data
"['classification', 'multiclass-classification', 'multilabel-classification']","Spark 1.5.1: Train many binary classifiers, save them, then use them on new data"
"['time-series', 'linear-regression', 'feature-extraction', 'feature-construction']",Time-stamp for linear model
['sampling'],Why Markov Chain Monte Carlo allows sampling from a large class of distributions and scales well with the dimensionality of the sample space?
"['python', 'bigdata', 'hadoop']",what should learn for become data scientist?
"['machine-learning', 'apache-spark', 'ranking']",Algorithm Suggestion For a Specific Problem
"['r', 'classification', 'text-mining', 'supervised-learning', 'semi-supervised-learning']",Semi-supervised text classification
"['r', 'predictive-modeling', 'regression']",Kernel regression results in diverse outputs
"['machine-learning', 'convnet']",How to architect ConvNet to ignore top half of image
"['clustering', 'k-means', 'sklearn', 'categorical-data']",Clustering for mixed numeric and nominal discrete data
"['feature-extraction', 'preprocessing', 'featurization']",How to define a distance measure between two IP addresses?
"['machine-learning', 'data-mining', 'r', 'logistic-regression', 'gradient-descent']",Stochastic gradient descent in logistic regression
"['machine-learning', 'feature-selection', 'feature-construction']",Is there any difference between feature extraction and feature learning?
"['classification', 'semi-supervised-learning']",Build a binary classifier with only positive and unlabeled data
['data'],Existing list of general QA for chatbot?
['graphs'],Union grouping in bipartite graphs?
"['statistics', 'data-cleaning', 'hive']",Find outliers in Hive - SemanticException
"['bigdata', 'azure-ml']",Please read the description before voting down - Need pointers for Microsoft's Exam 70-475: Design and Implement Big Data Analytics
"['sampling', 'preprocessing']",Sampling for multi categorical variable
"['data-mining', 'clustering', 'text-mining']",Clustering related areas with k-means
"['machine-learning', 'data-mining']",Heterogeneous Value Difference Metric (HVDM)
['bigdata'],Examples of the Three V's of Big Data?
"['classification', 'dataset', 'weka']",How to perform significance Tests comparing Datasets in Weka
['topic-model'],automated topic modeling topic naming
"['machine-learning', 'data-mining', 'predictive-modeling']",How to do Machine Learning the right way?
['hadoop'],Is there a benefit to using hadoop with only one node?
"['neuralnetwork', 'convnet']",How are 1x1 convolutions the same as a fully connected layer?
"['apache-spark', 'pyspark', 'ipython', 'anaconda']",How do I set/get heap size for Spark (via Python notebook)
['python'],Luigi Python package command line
"['machine-learning', 'r']",Are there any machine learning techniques to identify points on plots/ images?
"['bigdata', 'definitions', 'terminology', 'history']","Original Meaning of ""Intelligence"" in ""Business Intelligence"""
"['machine-learning', 'algorithms', 'predictive-modeling']",Naive about which Naive Bayes in article
"['r', 'performance']",Slow convergence with rpart
"['classification', 'python', 'svm', 'scikit', 'multilabel-classification']",One multilabel classifier or one for each type of label?
"['machine-learning', 'classification', 'text-mining', 'multiclass-classification']",Appropriate algorithm for string (not document) classification?
['data-mining'],Non-parametric approach to healthcare dataset?
"['clustering', 'word2vec']",Clustering of Temporal Data
"['beginner', 'career']","I am a programmer, how do I get into field of Data Science?"
['r'],how to perform Step calcuations in R
"['aws', 'rstudio']",How do I access data on my EBS Volume from R-Studio Server on Ubuntu EC2 Instance
['classification'],Identify document's owner by content
"['machine-learning', 'classification', 'svm']",Which classifier is efficient in dealing with test query which belongs to no trained class?
['python'],Python package for sequential analysis
"['machine-learning', 'time-series']",How can I predict traffic based on previous time series data?
['r'],Returning row and column of ID
"['categorical-data', 'logistic-regression']",Why is there such a mismatch between the Model's predicted probability and theoretical probability in logistic regression?
"['machine-learning', 'supervised-learning', 'topic-model']",Parallelized supervised Latent Dirichlet Allocation
"['databases', 'sql', 'nosql']",NoSQL vs SQL backend for semi structured data
"['machine-learning', 'neuralnetwork', 'algorithms', 'optimization']",Use the LMS algorithm to train a single perceptron neural network by finding the weights for a given data
"['neuralnetwork', 'preprocessing', 'image-recognition']",How would one seperate digits for number recognition?
"['machine-learning', 'r', 'classification', 'data-mining', 'predictive-modeling']",How to get particular month predictions using classification model?
"['predictive-modeling', 'feature-engineering']",Skewed binomial data for small p
"['machine-learning', 'r']",What is a good model to look at the effects of choices on the results of those choices?
"['python', 'time-series', 'pandas']",Pandas Data Frame: Calculating custom moving average
"['machine-learning', 'programming']",From where should I start Machine Learning?
['regression'],Beginner: how to model net change given an incomplete set of input/output figures
['word2vec'],Word2Vec how to treat words that aren't in the vocabulary
"['data-mining', 'bigdata', 'databases', 'sql', 'mongodb']",Which is faster: PostgreSQL vs MongoDB on large JSON datasets?
"['machine-learning', 'dataset', 'multiclass-classification']","Where can I download a tagged dataset of text related to finance, programming, analytics etc.?"
"['feature-extraction', 'feature-scaling', 'featurization']",What is a good way to transform Cyclic Ordinal attributes?
"['recommendation', 'apache-mahout']",collaborative filtering in mahout
"['data-mining', 'nlp', 'algorithms']",Could one algorithm fetch keywords from texts of different natural languages?
"['machine-learning', 'python', 'deep-learning', 'keras']",Validation loss and accuracy remains constant
['r'],sub-setting based on categorical variable in R
"['dataset', 'unbalanced-classes']",How to find nearest neighbors in SMOTE
"['weka', 'sqlite', 'arff']",Weka Machine Learning: ARFF file: multiple relations
['decision-trees'],How can decision trees be tuned for non-symmetrical loss?
"['neuralnetwork', 'deep-learning', 'rnn']",LSTMs: what is Wx & Uz in φ(Wx + Uz + b)?
['preprocessing'],What does normalizing and mean centering data do?
"['machine-learning', 'recommendation', 'recommender-system']",How to prepare the training data for SVD-based Recommendation?
"['machine-learning', 'python', 'data-mining', 'dataset', 'pandas']",Python: How to make model predict in a generalized manner using ML Algorithm
"['r', 'python', 'visualization']","Need some tips regarding starting out with the field's specific programming languages, with a heavy focus on data visualization"
['bigdata'],Reading material for Big data systems Design patterns
"['visualization', 'terminology']","Why did Tufte call this a ""superbly produced duck""?"
"['machine-learning', 'image-classification', 'training']",Build a tool for manually classifying training data images
"['machine-learning', 'data-mining', 'data-cleaning', 'mongodb', 'json']",What is a good way to start Data Analysis of unknown dataset (JSON data)
"['machine-learning', 'python', 'sklearn', 'prediction']",Date prediction - periodic recurrence
['nlp'],How to process natural language queries?
"['statistics', 'education', 'knowledge-base', 'definitions']",Data Science oriented dataset/research question for Statistics MSc thesis
['similarity'],Is it appropriate to use the Jaccard Index for multiple sets simultaneously?
['bigdata'],Amazon S3 vs Google Drive
"['bigdata', 'efficiency', 'performance', 'scalability', 'distributed']",How to compare experiments run over different infrastructures
"['dataset', 'feature-selection', 'correlation']",Use of Correlation score
"['data-mining', 'clustering', 'social-network-analysis']",graph database and its clustering
"['dataset', 'excel']",Working with text files in Excel
"['r', 'dataset']",Reading Persian Characters in R
"['r', 'dataset']",Best way to store large data set using R from Twitter?
"['python', 'statistics', 'feature-scaling']",Sensitivity to scaling of features in a multivariate gaussians
"['python', 'visualization']",What to consider before learning a new language for data analysis
"['r', 'predictive-modeling', 'time-series', 'linear-regression', 'data-stream-mining']",local regression with streaming data
"['r', 'bigdata', 'text-mining']",Text Mining on Large Dataset
"['bigdata', 'hadoop', 'research']",Masters thesis topics in big data
"['feature-extraction', 'multiclass-classification']",Multiclass Classification that includes a Geospatial Element
"['time-series', 'apache-spark']",ARIMAX with spark-timeseries
"['clustering', 'dimensionality-reduction', 'tsne', 'manifold']",Can I apply Clustering algorithms to the result of Manifold Visualization Methods?
"['data-mining', 'bigdata', 'dataset', 'apache-spark', 'social-network-analysis']",Need to prepare the data to Link Analysis project?
"['machine-learning', 'algorithms', 'decision-trees']",Is decision tree algorithm a linear or nonlinear algorithm?
"['machine-learning', 'data', 'search']",Weighted k nearest neighbor search
"['machine-learning', 'neuralnetwork', 'julia']",Neural network for MNIST: very low accuracy
"['machine-learning', 'r', 'python']",Python and R good tutorials?
"['machine-learning', 'classification', 'r', 'clustering']",R Script to generate random dataset in 2d space
['dimensionality-reduction'],Dimension Reduction - After or Before Train-Test Split
"['time-series', 'java', 'energy']",Energy consumption time series forcasting
['nlp'],Treebank conversion from dependency to constituency?
"['machine-learning', 'algorithms', 'beginner']",Ideas for next step of Machine Learning
"['python', 'survival-analysis']",What are available methods for modeling startup survival rates?
"['data-indexing-techniques', 'indexing']",Index for efficient argmax(w.x) query ~ 20d
['tensorflow'],Tensorflow RNN not learning when output included in training variables
"['python', 'apache-spark', 'pyspark']",key parameter in max function in Pyspark
"['python', 'classification', 'neuralnetwork', 'scikit', 'image-classification']",Image Segmentation with a challenging background
['machine-learning'],Bayesian Decision Tree
"['data-mining', 'r', 'dataset', 'beginner']",Data transposition code in R
['machine-learning'],What does 'contextual' mean in 'contextual bandits'?
"['machine-learning', 'classification', 'accuracy', 'naive-bayes-classifier']",Improving Naive Bayes accuracy for text classification
['gradient-descent'],"Stochastic gradient descent in matrix factorization, sensitive to label's scale?"
['scoring'],What are good reads on risk scoring methodology?
"['clustering', 'k-means', 'preprocessing']",Clustering bitcoin addresses with k-means - how would one prepare input
"['machine-learning', 'data-mining', 'statistics', 'tensorflow']",Method for Determining statistically significant values in Sparse Rows/Matrices?
"['logistic-regression', 'scikit']",Does scikit-learn use regularization by default?
"['machine-learning', 'confusion-matrix', 'google-prediction-api']",Understanding ConfusionMatrix for Google Prediction API
"['machine-learning', 'python', 'r']","Where can I find a software library for pairwise matching (ideally, Python, R, Java)?"
['statistics'],what are the parameter estimation methods for the two methods in this paper
"['classification', 'categorical-data', 'feature-extraction', 'feature-construction']",How to deal with categorical feature of very high cardinality?
['data-stream-mining'],Analysis of Real-Time Bidding
"['deep-learning', 'tensorflow', 'language-model']","In plain English, how to descibe i/o of the TensorFlow for language modelling?"
"['apache-spark', 'apache-mahout', 'recommender-system']",Unknown program 'spark-itemsimilarity' chosen
['decision-trees'],Decision Stumps with same value leaf nodes
"['clustering', 'regression', 'correlation']",What is the best Data Mining algorithm for prediction based on a single variable?
['machine-learning'],Is it possible to predict groups vs groups in machine learning?
"['r', 'statistics', 'regression']",Adaptive regression parameter estimation in R
"['text-mining', 'similarity', 'sklearn']",Add extra term weight when grouping strings by similarity?
"['r', 'classification']",Response variable with very high number of class levels in R
"['r', 'probability']",Estimating probability of observed states
['deep-learning'],"Relu does have 0 gradient by definition, then why gradient vanish is not a problem for x < 0?"
"['visualization', 'dimensionality-reduction', 'tsne', 'manifold']",Can closer points be considered more similar in T-SNE visualization?
"['python', 'classification', 'scikit']",What is a visual bag of words and how is it implemented?
"['nlp', 'word-embeddings', 'terminology', 'word2vec']",Are Word2Vec and Doc2Vec both distributional representation or distributed representation?
"['machine-learning', 'neuralnetwork', 'linear-regression']",Unit Step Activation Function
"['classification', 'clustering']",Datamodel for cluster analysis terms & segmentation
"['neuralnetwork', 'deep-learning', 'theano', 'tensorflow', 'keras']",Choosing between TensorFlow or Theano as backend for Keras
"['similarity', 'cosine-distance']",How to find similarity/distance matrix with mixed Continuous and Categorical data?
['neuralnetwork'],Forward propagation in complicated neural networks
['statistics'],Calculating Welch's test degrees of freedom with Scipy
"['python', 'categorical-data', 'sklearn']",Using sklearn DictVectorizer in real-time systems
['logistic-regression'],Significance shifts when cases are excluded
"['machine-learning', 'neuralnetwork']",Troubleshooting Neural Network Implementation
"['hadoop', 'aws']",Processing data stored in Redshift
"['classification', 'regression', 'predictive-modeling', 'unbalanced-classes']",Modeling when the response variable has too many 0's and few continuous values?
"['svm', 'scikit', 'cross-validation']",GridSearch returns different result than metrics.precision_score
"['predictive-modeling', 'simulation']",Convergence line for oscillating trend
"['machine-learning', 'dataset', 'matlab']","Error using Machine Learning Functions ""fitcsvm"" and ""fitcecoc"" in Matlab"
"['statistics', 'ab-test']",A/B testing randomization step
"['scikit', 'categorical-data', 'naive-bayes-classifier', 'missing-data']",Dealing with missing features (categorical) - Naive Bayes Combining Evidence
"['social-network-analysis', 'time-series', 'javascript', 'visualization']",How to animate growth of a social network?
"['metadata', 'parsing']",Can metadata be used to adapt parsing for an unescaped in field use of the delimiter?
"['machine-learning', 'classification', 'sentiment-analysis']",what is difference between sentiment analysis and twitter- sentiment analysis?
"['performance', 'python', 'pandas', 'parallel']",Is there a straightforward way to run pandas.DataFrame.isin in parallel?
"['classification', 'logistic-regression', 'scikit']",How to optimize the parameters of a classifier on scikit-learn?
"['machine-learning', 'visualization', 'deep-learning', 'autoencoder']","Why is Reconstruction in Autoencoders Using the Same Activation Function as Forward Activation, and not the Inverse?"
"['machine-learning', 'r', 'open-source']",Exporting R model to OpenCV's Machine Learning Library
['data-mining'],"Can we use package ""dplyr"" on R base 3.0.2?"
"['machine-learning', 'data-cleaning']",What are the best practices to anonymize user names in data?
"['machine-learning', 'r', 'predictive-modeling', 'performance', 'training']",Training And Testing Error Curves caret package in r
"['machine-learning', 'deep-learning', 'reference-request']",Questions regarding deep learning?
"['r', 'python', 'algorithms']",OOP for data science
"['machine-learning', 'python', 'neuralnetwork', 'tensorflow', 'autoencoder']",Is there any implementation of Recursive Auto Encoders in Tensorflow?
"['python', 'logistic-regression', 'theano']",Logistic regression program does not give statistically correct result
"['predictive-modeling', 'regression', 'decision-trees']",Can regression trees predict continuously?
"['neuralnetwork', 'rbm']",Hidden neuron representation of weights
"['predictive-modeling', 'feature-extraction', 'feature-engineering']",Ground-truth and feature extraction for predictive modelling
"['classification', 'clustering', 'algorithms', 'weka', 'association-rules']",Numerical data and different algorithms
"['r', 'statistics', 'simulation']",How to simulate customer walk-ins for a given period in a fast food chain in R
['clustering'],Why does OPTICS use the core-distance as a minimum for the reachability distance?
['machine-learning'],Similar Candidate Recommendations
['r'],Calculate Information Value and Weight of Evidence in R
"['data-mining', 'python', 'orange']",Question about (Python/Orange) Apriori associative algorithm
"['python', 'neuralnetwork', 'sklearn']",MLP batch iteration in python
"['r', 'text-mining']",R: substituting only whole statements (not parts of them)
"['machine-learning', 'r', 'data-mining', 'predictive-modeling']",Generating a set of Rules that defines a Group of users ( Multivariate Analysis )
"['neuralnetwork', 'deep-learning', 'distributed', 'torch']","Multi-GPU, multi-machine computation with Torch"
"['machine-learning', 'neuralnetwork']",What is a Dichotomy?
"['dataset', 'logistic-regression', 'self-study']",Logistic regression model and linearly separable dataset
